iter	RMSE
329	15012.83154
330	14996.26315
331	14978.55687
332	14976.19245
333	14952.57828
334	14950.28612
335	14914.10722
336	14905.56407
337	14873.57761
338	14847.60531
339	14826.48472
340	14805.31769
341	14783.8761
342	14758.26723
343	14731.38033
344	14709.52656
345	14690.03887
346	14676.08451
347	14652.41875
348	14629.84285
349	14612.76145
350	14594.9666
351	14592.4532
352	14574.70463
353	14542.59145
354	14519.85709
355	14501.37865
356	14481.64674
357	14462.56839
358	14436.05433
359	14417.78839
360	14391.42031
361	14377.28844
362	14374.91472
363	14347.83112
364	14323.87148
365	14308.35899
366	14283.21226
367	14256.51432
368	14238.11864
369	14226.2811
370	14207.88839
371	14181.38908
372	14161.28532
373	14125.23856
374	14121.93911
375	14108.18087
376	14082.22176
377	14064.65649
378	14031.9601
379	14010.50468
380	14007.66984
381	13998.81204
382	13979.10418
383	13958.32639
384	13938.43899
385	13916.31146
386	13895.11492
387	13871.77119
388	13860.07835
389	13839.23142
390	13825.81101
391	13798.59093
392	13782.21427
393	13770.68786
394	13756.76817
395	13733.48794
396	13718.9623
397	13700.12633
398	13698.01542
399	13678.12632
400	13674.63914
401	13671.24814
402	13656.78898
403	13649.32512
404	13633.63005
405	13615.17683
406	13601.35827
407	13579.19461
408	13558.03131
409	13546.82331
410	13529.27208
411	13515.59009
412	13497.63683
413	13481.67894
414	13464.77857
415	13456.45659
416	13443.24689
417	13425.38915
418	13416.0262
419	13412.74301
420	13391.97483
421	13373.8724
422	13359.6593
423	13356.74644
424	13338.16462
425	13315.35231
426	13297.29166
427	13294.76086
428	13277.50691
429	13260.84568
430	13243.95319
431	13242.19981
432	13223.14781
433	13210.68688
434	13183.4045
435	13169.33501
436	13155.10482
437	13135.4716
438	13122.03161
439	13105.27865
440	13079.44098
441	13064.07989
442	13049.07372
443	13038.64173
444	13036.96306
445	13015.98893
446	13007.27548
447	12991.48455
448	12972.92459
449	12952.94855
450	12938.66409
451	12925.50333
452	12904.82825
453	12891.42688
454	12881.45049
455	12866.70952
456	12851.03791
457	12830.61767
458	12813.98169
459	12810.62543
460	12789.06377
461	12772.68491
462	12761.85291
463	12744.06863
464	12741.68341
465	12714.92904
466	12694.16239
467	12669.41603
468	12653.49348
469	12638.63492
470	12615.19892
471	12601.49445
472	12579.94367
473	12564.41112
474	12552.54384
475	12528.95806
476	12524.83962
477	12501.49833
478	12496.97608
479	12485.7665
480	12469.14354
481	12456.86838
482	12455.36275
483	12445.8013
484	12428.8328
485	12417.37603
486	12415.77187
487	12399.12513
488	12385.427
489	12373.62699
490	12357.7256
491	12339.32892
492	12323.66621
493	12300.54273
494	12287.39848
495	12286.00928
496	12274.39532
497	12252.59277
498	12250.53104
499	12238.78938
500	12226.75616
501	12213.01656
502	12202.72655
503	12190.99914
504	12185.99703
505	12173.79567
506	12163.5866
507	12153.93327
508	12141.83848
509	12126.03978
510	12119.88488
511	12109.11796
512	12096.57822
513	12073.68712
514	12058.82955
515	12040.68494
516	12031.63229
517	12019.09347
518	12017.11429
519	11999.12735
520	11978.91055
521	11965.1284
522	11953.66947
523	11941.34476
524	11923.73767
525	11911.55971
526	11906.12177
527	11885.91404
528	11869.89577
529	11853.19343
530	11838.99542
531	11827.62697
532	11811.22436
533	11796.90607
534	11785.08594
535	11768.83436
536	11754.54954
537	11741.14752
538	11726.26459
539	11713.08391
540	11695.8382
541	11689.13154
542	11673.28509
543	11659.83615
544	11639.63524
545	11627.92776
546	11615.5204
547	11603.96835
548	11593.24017
549	11582.41741
550	11571.5321
551	11562.21364
552	11560.0992
553	11550.1837
554	11538.78213
555	11523.7385
556	11509.19025
557	11496.59955
558	11482.521
559	11480.71232
560	11473.91013
561	11471.63164
562	11455.07333
563	11441.21778
564	11429.97286
565	11412.63929
566	11403.31335
567	11393.37371
568	11384.44004
569	11373.61602
570	11364.04187
571	11362.23131
572	11346.03134
573	11344.9477
574	11335.2709
575	11324.99609
576	11310.72646
577	11308.8926
578	11299.25912
579	11289.26233
580	11275.24898
581	11263.22788
582	11254.40983
583	11241.41401
584	11239.82766
585	11225.04507
586	11211.46409
587	11201.06596
588	11189.59148
589	11182.25044
590	11169.44348
591	11165.45414
592	11150.90444
593	11139.11503
594	11125.87605
595	11114.33319
596	11096.49784
597	11081.95437
598	11071.08953
599	11070.08623
600	11054.11847
601	11041.16659
602	11035.55961
603	11025.30821
604	11015.27717
605	11009.59821
606	11002.27789
607	10986.29344
608	10972.81218
609	10957.63644
610	10953.40351
611	10942.16746
612	10932.47141
613	10919.50573
614	10910.18633
615	10897.01101
616	10891.04487
617	10882.35777
618	10881.2612
619	10865.91971
620	10856.31716
621	10840.75424
622	10834.27922
623	10818.22595
624	10808.42622
625	10798.30478
626	10787.55118
627	10780.15104
628	10779.23918
629	10778.19937
630	10764.30046
631	10753.09555
632	10734.96449
633	10721.42907
634	10714.1154
635	10704.61628
636	10693.84789
637	10680.01291
638	10666.62633
639	10664.16967
640	10655.23856
641	10648.16115
642	10642.52954
643	10641.18177
644	10632.6061
645	10631.41483
646	10630.27175
647	10615.90106
648	10599.44946
649	10586.23407
650	10577.70146
651	10568.93203
652	10561.56288
653	10553.30143
654	10543.36082
655	10532.73136
656	10524.69523
657	10523.43425
658	10511.3143
659	10498.67575
660	10485.88591
661	10478.64159
662	10477.42033
663	10468.10128
664	10461.7485
665	10449.41601
666	10442.1018
667	10430.37625
668	10415.63359
669	10405.92574
670	10395.09684
671	10385.17143
672	10369.30222
673	10360.50758
674	10351.56482
675	10341.4566
676	10332.72165
677	10321.16954
678	10313.11785
679	10303.31871
680	10302.28179
681	10288.55705
682	10277.40369
683	10265.52578
684	10256.63691
685	10250.63852
686	10242.38101
687	10227.728
688	10218.44264
689	10208.31313
690	10194.66814
691	10186.25451
692	10179.47268
693	10167.74889
694	10152.35539
695	10147.34002
696	10132.63906
697	10124.94148
698	10112.16213
699	10105.58784
700	10091.75773
701	10079.65881
702	10070.52301
703	10062.8511
704	10049.01962
705	10044.43173
706	10038.48688
707	10036.68594
708	10027.8505
709	10015.66794
710	10008.17912
711	10003.32472
712	9996.355264
713	9981.430249
714	9973.086294
715	9962.214709
716	9952.586823
717	9951.512035
718	9937.084217
719	9925.86346
720	9914.368263
721	9912.761506
722	9904.629826
723	9893.138674
724	9882.476135
725	9874.34129
726	9870.586096
727	9865.721723
728	9857.177017
729	9847.864355
730	9839.707205
731	9832.363661
732	9825.243102
733	9814.850514
734	9809.735626
735	9801.97513
736	9800.442831
737	9789.646946
738	9781.275931
739	9773.820644
740	9759.176306
741	9750.326903
742	9742.879387
743	9727.759455
744	9720.268048
745	9707.721561
746	9698.364527
747	9690.129326
748	9688.998091
749	9684.429736
750	9676.323812
751	9667.802249
752	9659.059581
753	9649.674064
754	9639.630774
755	9628.123863
756	9620.055944
757	9609.368796
758	9608.040861
759	9596.915194
760	9588.084247
761	9578.830684
762	9572.052853
763	9563.476371
764	9553.239807
765	9546.092998
766	9536.182692
767	9528.214397
768	9519.922002
769	9509.983175
770	9502.613548
771	9495.138837
772	9488.200833
773	9477.727771
774	9469.381028
775	9461.77568
776	9456.598281
777	9451.988611
778	9443.29978
779	9435.47242
780	9427.511821
781	9426.762925
782	9420.494787
783	9416.410959
784	9408.449821
785	9399.48838
786	9391.126136
787	9381.630088
788	9371.243593
789	9370.399994
790	9360.776959
791	9351.642332
792	9344.107718
793	9334.040355
794	9327.147781
795	9322.316274
796	9309.572939
797	9302.133556
798	9301.416194
799	9295.408779
800	9294.614306
801	9286.854766
802	9274.813796
803	9267.546454
804	9252.600878
805	9243.155742
806	9232.487721
807	9224.833497
808	9217.212333
809	9216.504698
810	9206.847819
811	9201.949267
812	9193.36687
813	9180.089096
814	9172.477799
815	9169.454248
816	9160.855386
817	9150.004713
818	9143.04017
819	9129.555934
820	9125.580323
821	9116.66009
822	9106.714383
823	9106.058257
824	9098.995289
825	9093.690907
826	9090.326216
827	9083.664329
828	9074.298293
829	9068.040529
830	9061.68629
831	9057.642792
832	9051.019201
833	9050.043614
834	9042.050253
835	9033.908391
836	9023.883731
837	9017.318122
838	9008.901923
839	8998.400876
840	8994.876554
841	8988.141318
842	8980.191212
843	8979.254938
844	8974.173889
845	8967.021096
846	8966.175652
847	8965.608221
848	8957.214486
849	8953.577588
850	8948.707519
851	8943.460776
852	8938.207997
853	8930.570104
854	8918.877473
855	8908.071729
856	8900.491202
857	8893.462372
858	8889.692246
859	8883.16742
860	8880.092276
861	8871.873508
862	8864.940812
863	8856.930376
864	8850.533911
865	8849.862431
866	8844.590304
867	8836.6494
868	8826.941177
869	8822.902975
870	8818.451487
871	8809.397405
872	8796.757144
873	8790.829671
874	8782.861129
875	8778.193342
876	8772.365034
877	8762.845339
878	8759.097593
879	8751.006014
880	8744.066998
881	8742.972605
882	8742.410972
883	8736.061283
884	8728.631373
885	8722.545547
886	8711.908693
887	8707.355995
888	8706.711054
889	8700.96609
890	8694.784895
891	8688.075538
892	8684.978415
893	8680.413854
894	8674.571649
895	8665.065669
896	8664.519893
897	8658.284026
898	8648.867533
899	8641.575659
900	8634.435489
901	8627.216897
902	8619.792801
903	8617.007344
904	8616.351999
905	8606.329092
906	8600.027003
907	8591.12481
908	8585.42214
909	8574.799754
910	8567.085097
911	8563.542284
912	8555.695108
913	8548.456172
914	8540.245287
915	8536.252859
916	8528.895393
917	8524.028104
918	8515.969286
919	8504.374499
920	8496.217269
921	8490.999636
922	8482.010854
923	8478.946298
924	8471.619854
925	8464.057573
926	8456.473257
927	8452.058587
928	8445.542302
929	8439.204207
930	8433.609032
931	8425.729764
932	8420.127982
933	8411.252043
934	8405.96019
935	8401.928999
936	8392.225913
937	8384.466801
938	8378.18038
939	8373.026478
940	8366.677098
941	8358.530098
942	8352.0369
943	8351.513139
944	8346.896756
945	8340.785063
946	8340.271231
947	8330.596501
948	8325.300247
949	8318.821868
950	8312.758965
951	8305.389067
952	8297.698743
953	8290.63509
954	8286.156448
955	8281.123112
956	8275.279419
957	8264.74222
958	8257.913588
959	8250.629838
960	8242.872546
961	8237.36925
962	8230.408786
963	8220.820505
964	8214.59873
965	8213.756588
966	8208.075612
967	8200.658821
968	8194.856443
969	8191.625971
970	8185.289447
971	8179.488466
972	8174.8263
973	8167.929957
974	8161.951774
975	8154.874082
976	8149.344782
977	8148.823376
978	8146.631645
979	8143.533218
980	8138.803331
981	8131.933405
982	8128.797585
983	8115.344797
984	8111.003302
985	8105.838603
986	8095.91721
987	8090.083028
988	8083.931955
989	8079.731953
990	8070.457779
991	8063.987078
992	8059.577352
993	8054.317274
994	8048.289334
995	8044.855048
996	8040.76794
997	8035.023212
998	8030.236744
999	8027.099814
